user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,n_candidates,intra_list_similarity
2,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
4,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,100,
7,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
14,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
19,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
25,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
29,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,100,
34,0.0,1.0,0.0,0.8,ml100k,popularity,none,0,100,
45,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,100,
63,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
67,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
70,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
78,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
79,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
110,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
122,0.6309297535714575,1.0,1.0,1.3,ml100k,popularity,none,0,100,
149,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,100,
153,0.3010299956639812,1.0,1.0,1.3,ml100k,popularity,none,0,100,
212,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,100,
228,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
229,0.0,1.0,0.0,0.5,ml100k,popularity,none,0,100,
235,0.5,1.0,1.0,1.3,ml100k,popularity,none,0,100,
239,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
247,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,100,
261,0.0,1.0,0.0,0.3,ml100k,popularity,none,0,100,
264,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
283,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,100,
298,0.3154648767857287,1.0,1.0,1.1,ml100k,popularity,none,0,100,
306,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
314,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,100,
330,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,100,
341,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,100,
342,0.5,1.0,1.0,0.6,ml100k,popularity,none,0,100,
343,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
352,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
355,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,100,
356,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
365,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,100,
373,0.0,1.0,0.0,0.6,ml100k,popularity,none,0,100,
387,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,100,
